Referee,Games_Officiated,Total_Travel_Miles,Avg_Miles_Per_Trip,Max_Single_Trip
Jeff Spedoske,21,6240.19,312.01,1374.98
Devyn Page,33,6142.47,191.95,1204.97
Scott Arbogast,17,6125.04,382.82,1848.31
Justin Shamion,37,6124.43,170.12,1615.48
Rob Rorke,47,6076.86,132.11,849.03
Daryl Gelinas,16,6057.93,403.86,2108.2
R.B. Clyburn,31,6045.8,201.53,770.71
Sean Hull,58,5983.96,104.98,819.04
Alex Landis,23,5970.05,271.37,1823.1
Eric Lowe,32,5953.88,192.06,1042.6
Julian Scott,13,5937.18,494.77,2507.32
Ben Stirt,47,5900.33,128.27,2219.38
Michael Wallace,47,5891.28,128.07,1407.8
Roland Simmons,24,5782.41,251.41,1742.09
James Gibson,33,5780.16,180.63,1598.69
Kevin Mathis,21,5778.52,288.93,1240.41
Jeffery Clark,40,5680.69,145.66,1224.26
K.B. Burdett Jr.,31,5611.85,187.06,1480.14
KB Burdett Jr.,13,5475.39,456.28,1598.69
Tim Smith,60,5431.88,92.07,809.7
Damon Williams,19,5421.57,301.2,1230.93
Stephen Orkus Jr.,20,5343.44,281.23,803.73
KB Burdett,10,5290.13,587.79,1002.57
Michael Husted,33,5166.26,161.45,803.73
Rob Riley,32,5011.14,161.65,959.33
Luke Chittum,26,4973.31,198.93,757.55
Mike Nance,45,4957.75,112.68,764.38
Mike Millione,42,4886.11,119.17,602.15
RJ Johnson,17,4857.04,303.56,1432.23
Matt Jarman,33,4773.73,149.18,792.64
Jenna Reneau,8,4758.99,679.86,2380.15
John Jenkins Jr.,11,4743.61,474.36,1972.97
Brian Shore,11,4740.29,474.03,1237.56
Jon Campbell,12,4720.87,429.17,1856.67
Jason Garretson,45,4691.67,106.63,742.59
Cody Crum,33,4652.99,145.41,1503.66
Connor Mooney,34,4631.32,140.34,814.34
Ervin Wilson,33,4575.33,142.98,1757.48
DJ Carstensen,23,4505.64,204.8,1163.38
David Hall,18,4491.31,264.19,1058.18
Jeffrey Clark,21,4370.14,218.51,926.33
Chuck McCoy,34,4280.35,129.71,1037.37
Mike Roberts,16,4228.33,281.89,783.98
Antonio Petty,12,4210.6,382.78,1319.9
Larry Scirroto,2,4207.67,4207.67,4207.67
Chris Chumley,21,4070.98,203.55,787.88
Joe Switzer,39,3981.75,104.78,422.01
Mike Nardone,51,3951.58,79.03,733.21
Sean Casady,26,3870.77,154.83,1155.67
Nathan Bemis,20,3830.96,201.63,807.29
Matthew Rukasin,37,3780.01,105.0,725.83
Steve Devine,7,3770.91,628.49,1627.95
Jermaine Rogers,23,3695.49,167.98,681.69
Jabir Walker,14,3677.91,282.92,1599.23
Jeff Anderson,6,3650.24,730.05,1808.58
Grant Jeffres,23,3646.79,165.76,1625.51
Ryan McCarty,5,3638.2,909.55,1212.73
Juan Corral,15,3576.42,255.46,1875.09
Leslie Jones,34,3561.61,107.93,1219.39
Rodrick Dixon,23,3489.74,158.62,804.86
Mark Fulton,29,3488.06,124.57,1115.68
Bill Jacobson,11,3455.42,345.54,691.43
Mike Reed,13,3333.74,277.81,1698.98
Joe Wilbert III,22,3282.07,156.29,934.1
Wally Rutecki,41,3242.39,81.06,812.32
Sutton Simon,16,3137.16,209.14,1395.01
James Hicks,20,3127.28,164.59,961.13
Trent Dews,16,3086.68,205.78,376.07
Isaiah Conrad,8,3042.81,434.69,1680.87
Aran Hart,9,2967.87,370.98,2135.4
Sidney Cohen,21,2964.02,148.2,977.39
Michael Mojica,33,2964.01,92.63,967.07
Tim Kelly,35,2913.27,85.68,873.63
Glen Mayberry,32,2896.9,93.45,963.18
Robert Foster,9,2896.4,362.05,1599.23
Glenn Tuitt,14,2836.07,218.16,804.86
Tim Fitzgerald,26,2826.53,113.06,900.5
John St. Clair,25,2799.99,116.67,1186.88
Nomi Kidwai,23,2793.02,126.96,818.3
Mike O'Neil,6,2777.03,555.41,860.92
Kirk Smith,14,2767.03,212.85,1261.75
Brandon Cruz,39,2761.55,72.67,567.75
Antoine Dawkins,8,2750.63,392.95,886.24
Brad Clauss,8,2743.26,391.89,1037.04
Ronald Groover,9,2716.7,339.59,1387.75
Brian Zink,42,2716.5,66.26,423.52
Ed Phillips,5,2636.78,659.19,1245.86
Robert Lehigh,35,2601.28,76.51,730.42
Chris Pasci,5,2600.21,650.05,1818.49
Bob Franklin,14,2563.01,197.15,1241.74
Jon Pierre Tjon-Joe-Pin,15,2537.15,181.23,826.21
Stefan Maxwell,5,2530.82,632.71,753.29
Barry Mathis,14,2502.67,192.51,676.51
Billy Dunlap,25,2495.7,103.99,315.19
Josh Anderson,40,2468.55,63.3,733.21
David Walker,14,2459.51,189.19,642.4
Tuscon Grigg,3,2438.8,1219.4,1219.4
Tyler Sandmann,32,2437.24,78.62,598.12
Kyle Bowen,17,2405.85,150.37,601.18
Michael Luckie,49,2394.2,49.88,433.42
Will Howard,18,2346.99,138.06,1083.81
Josh Burton,30,2341.44,80.74,1044.52
Mike Evans,51,2323.33,46.47,474.48
Ben Cartmell,16,2296.58,153.11,708.31
Bianca Burns,4,2280.48,760.16,1902.29
Jake Keller,14,2260.57,173.89,1608.17
Kyle Luckie,26,2233.31,89.33,295.09
Minkah Milton,9,2229.2,278.65,754.87
Chance Wallesen,23,2227.55,101.25,1731.39
Adam Vandenburgh,49,2221.23,46.28,526.18
Matthew Lavigne,27,2208.75,84.95,477.13
Scott Gooden,22,2204.17,104.96,889.27
Mike O'Neill,20,2139.09,112.58,698.74
Alexander Thompson,18,2117.68,124.57,1287.21
Tony Crisp,50,2112.19,43.11,479.26
Frank Harvey III,32,2090.82,67.45,472.18
Jeff Clark,13,2079.42,173.29,783.98
Geoff Vejsicky,15,2064.98,147.5,763.77
Vasili Mallios,51,2045.23,40.9,474.48
Luke Payne,12,2040.78,185.53,494.31
John Cahill Jr.,35,2033.34,59.8,396.59
Nate Melson,12,2015.73,183.25,745.88
Nick Terry,24,2013.53,87.54,571.05
Dan Basile,28,1964.29,72.75,407.0
Brent Dugas,24,1949.78,84.77,983.91
Daniel Clark,9,1941.48,242.68,343.33
Andrew Barksdale,25,1940.07,80.84,260.73
Jason Page,25,1937.85,80.74,554.27
Tim Corner,2,1915.6,1915.6,1915.6
Ben Syroka,5,1906.67,476.67,949.48
Michael Terry,24,1897.46,82.5,345.28
Jack Loughran,18,1877.65,110.45,643.31
Chase Vaden,13,1865.98,155.5,400.06
Nate Gamet,19,1863.47,103.53,499.21
Paul Szeic,2,1862.6,1862.6,1862.6
Owen Luckie,20,1860.06,97.9,542.75
John Jenkins Jr,2,1851.42,1851.42,1851.42
Kristyne Esparza,21,1844.65,92.23,954.88
Mamadou Ba,21,1829.96,91.5,1033.77
Ian McClenny,23,1805.62,82.07,389.53
John Washo,5,1780.89,445.22,928.43
Eric Boyce,7,1759.77,293.29,666.7
Raymond Tate,12,1759.77,159.98,527.78
Wilson Holland,24,1753.22,76.23,942.02
Kyle Bottoms,21,1748.41,87.42,381.38
Lars Murray,5,1747.99,437.0,864.18
Dan Dorian,6,1747.47,349.49,644.09
Carl Luciano,25,1720.27,71.68,363.71
Cedric Coleman,16,1714.36,114.29,384.17
Mikerlange Fleury,53,1705.67,32.8,240.98
Jason Bradwell,46,1664.92,37.0,526.18
Chris King,19,1652.68,91.82,586.61
